,Kodu,TEFAS İşlem Başlangıç Saati,Fon Alış Valörü,TEFAS Min. Alış İşlem Miktarı ,TEFAS Max. Alış İşlem Miktarı ,TEFAS İşlem Durumu,Çıkış Komisyonu,ISIN Kodu,TEFAS Son İşlem Saati,Fon Satış Valörü,TEFAS Min. Satış İşlem Miktarı ,TEFAS Max. Satış İşlem Miktarı ,Giriş Komisyonu,price
202,MKG,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYMKFT00166,17:45,1.0,1,0.0, ,0.0063
203,MMH,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYMKFT00174,17:45,2.0,1,0.0, ,0.0028
204,MPF,09:00,0.0,1,0.0,İşlem Görüyor, ,TRYMKFT00034,13:30,0.0,1,0.0, ,0.0075
205,MPK,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYMKFT00026,17:45,1.0,1,0.0, ,0.0087
206,MPN,09:00,1.0,1,0.0,"Fon Alımına Kapalı, Fon Bozumuna Açık", ,TRYMKFT00133,13:30,3.0,1,0.0, ,0.0013
207,MPS,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYMKFT00018,17:45,2.0,1,0.0, ,0.0088
208,NBZ,09:30,1.0,1,0.0,İşlem Görüyor, ,TRYVVGS00198,17:45,3.0,1,0.0, ,0.0085
209,NNF,09:00,1.0,1,500000.0,İşlem Görüyor, ,TRYHDFP00060,17:45,2.0,1,500000.0, ,0.0065
210,NSK,09:30,1.0,1,0.0,İşlem Görüyor, ,TRYVVGS00024,17:45,1.0,1,0.0, ,0.0039
211,NZH,09:30,1.0,1,0.0,İşlem Görüyor, ,TRYVVGS00057,17:45,1.0,1,0.0, ,0.0015
212,OBP,09:00,1.0,1,60000000.0,İşlem Görüyor, ,TRYOYMD00049,17:30,1.0,1,60000000.0, ,0.0031
213,ODD,09:00,1.0,1,5000000.0,İşlem Görüyor, ,TRYOYKP00104,17:30,2.0,1,5000000.0, ,0.0039
214,ODS,09:00,1.0,1,1000000.0,İşlem Görüyor, ,TRYOYKP00047,17:30,3.0,1,1000000.0, ,0.0074
215,ODV,09:00,1.0,1,900000000.0,İşlem Görüyor, ,TRYAKPO00237,17:45,3.0,1,9000000000.0, ,0.0051
216,OFS,09:00,1.0,1,10000000.0,İşlem Görüyor, ,TRYOYKP00161,17:30,2.0,1,10000000.0, ,0.0018
217,OGD,09:00,1.0,1,5000000.0,İşlem Görüyor, ,TRYOYKP00138,17:30,1.0,1,5000000.0, ,0.0023
218,OHB,09:00,1.0,1,60000000.0,İşlem Görüyor, ,TRYOYKP00039,17:30,2.0,1,60000000.0, ,0.0001
219,OJT,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYFIPO00230,17:30,3.0,1,0.0, ,0.0022
220,OKD,09:00,1.0,1,60000000.0,İşlem Görüyor, ,TRYOYMD00072,17:30,2.0,1,60000000.0, ,0.0003
221,OKP,09:00,0.0,1,1000000.0,İşlem Görüyor, ,TRYOYKP00088,13:00,0.0,1,1000000.0, ,0.0093
222,OKT,09:00,1.0,1,50000000.0,İşlem Görüyor, ,TRYOYMD00064,17:30,1.0,1,50000000.0, ,0.0075
223,ONN,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYMKFT00141,17:45,1.0,1,0.0, ,0.0063
224,OPB,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYOSMP00060,17:30,1.0,1,0.0, ,0.0057
225,OPH,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYOSMP00094,17:30,2.0,1,0.0, ,0.0085
